DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
0.00,0.00,0.00,7H,10299,ANC,10299,ANC,10
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,1
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,2
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,3
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,5
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,10
0.00,0.00,8.00,7N,14493,RDV,14880,SLQ,12
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,1
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,2
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,3
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,5
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,10
0.00,0.00,10.00,7N,10304,ANI,10996,CHU,12
0.00,0.00,11.00,MQ,12478,JFK,12953,LGA,1
0.00,0.00,11.00,US,12478,JFK,12953,LGA,2
0.00,0.00,16.00,S5,13930,ORD,13232,MDW,3
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,1
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,2
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,3
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,5
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,10
0.00,0.00,18.00,7N,10313,ANV,12676,KGX,12
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,1
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,2
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,3
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,5
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,10
0.00,0.00,20.00,7N,14880,SLQ,14987,SRV,12
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,1
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,2
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,3
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,5
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,10
0.00,0.00,21.00,7N,12676,KGX,14816,SHX,12
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,1
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,2
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,3
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,5
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,10
0.00,0.00,26.00,7N,10304,ANI,12719,KLG,12
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,1
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,2
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,3
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,5
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,10
0.00,0.00,27.00,7N,11028,CKD,14493,RDV,12
0.00,0.00,30.00,YX,10821,BWI,11278,DCA,1
0.00,0.00,30.00,YX,10821,BWI,11278,DCA,1
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,1
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,2
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,3
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,5
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,10
0.00,0.00,34.00,7N,12087,HCR,10313,ANV,12
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,1
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,2
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,3
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,4
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,5
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,6
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,7
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,8
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,9
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,10
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,11
0.00,0.00,34.00,GCH,12483,JGC,12061,HAE,12
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,1
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,2
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,3
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,5
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,10
0.00,0.00,37.00,7N,12719,KLG,14627,RSH,12
0.00,0.00,42.00,7H,10299,ANC,14013,PAQ,6
