DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,QUARTER,MONTH
0.00,0.00,1014006,1393008,4,11
0.00,0.00,1015406,1219702,2,6
0.00,0.00,1015406,1219702,3,7
0.00,0.00,1015406,1219702,3,8
0.00,0.00,1015406,1219702,4,10
0.00,0.00,1015406,1247805,1,1
0.00,0.00,1015406,1247805,1,2
0.00,0.00,1015406,1247805,1,3
0.00,0.00,1015406,1247805,2,4
0.00,0.00,1015406,1247805,2,6
0.00,0.00,1015406,1247805,3,7
0.00,0.00,1015406,1247805,3,8
0.00,0.00,1015406,1247805,3,9
0.00,0.00,1015406,1247805,4,10
0.00,0.00,1017205,1198202,2,6
0.00,0.00,1018502,1046602,1,1
0.00,0.00,1019408,1019408,3,9
0.00,0.00,1019408,1019408,4,11
0.00,0.00,1024702,1163003,2,5
0.00,0.00,1025702,1143302,2,5
0.00,0.00,1025703,1530402,4,10
0.00,0.00,1029906,1030402,1,1
0.00,0.00,1029906,1030402,1,2
0.00,0.00,1029906,1030402,2,4
0.00,0.00,1029906,1030402,2,5
0.00,0.00,1029906,1030402,2,6
0.00,0.00,1029906,1133602,3,9
0.00,0.00,1029906,1491902,1,1
0.00,0.00,1029906,1491902,2,5
0.00,0.00,1030402,1055102,1,1
0.00,0.00,1030402,1055102,1,2
0.00,0.00,1030402,1055102,2,4
0.00,0.00,1030402,1055102,2,5
0.00,0.00,1030402,1055102,2,6
0.00,0.00,1039707,1043106,2,5
0.00,0.00,1039707,1129806,1,2
0.00,0.00,1039707,1134402,1,1
0.00,0.00,1039707,1197705,1,3
0.00,0.00,1039707,1289208,1,1
0.00,0.00,1039707,1289208,1,3
0.00,0.00,1039707,1299206,1,1
0.00,0.00,1039707,1299206,1,3
0.00,0.00,1039707,1299206,2,4
0.00,0.00,1039707,1324402,2,6
0.00,0.00,1039707,1330303,2,6
0.00,0.00,1039707,1467903,1,1
0.00,0.00,1039707,1469608,1,1
0.00,0.00,1039707,1473004,2,4
0.00,0.00,1039707,1478302,1,1
0.00,0.00,1039707,1487706,1,1
0.00,0.00,1039707,1530402,2,6
0.00,0.00,1039707,1621802,2,5
0.00,0.00,1039708,1043106,3,8
0.00,0.00,1039708,1079206,3,8
0.00,0.00,1039708,1129806,4,10
0.00,0.00,1039708,1143302,3,8
0.00,0.00,1039708,1199502,4,11
0.00,0.00,1039708,1233904,3,7
0.00,0.00,1039708,1320403,3,8
0.00,0.00,1039708,1449203,4,11
0.00,0.00,1039708,1452402,4,11
0.00,0.00,1039708,1467903,4,10
0.00,0.00,1039708,1530402,3,9
0.00,0.00,1039708,1621802,4,10
0.00,0.00,1040805,1143302,3,9
0.00,0.00,1042302,1226402,1,1
0.00,0.00,1042302,1348702,1,1
0.00,0.00,1043106,1039707,2,5
0.00,0.00,1043106,1039708,3,8
0.00,0.00,1046602,1018502,1,1
0.00,0.00,1054005,1082106,2,4
0.00,0.00,1054005,1161802,2,4
0.00,0.00,1055102,1029906,1,1
0.00,0.00,1055102,1029906,1,2
0.00,0.00,1055102,1029906,2,4
0.00,0.00,1055102,1029906,2,5
0.00,0.00,1055102,1029906,2,6
0.00,0.00,1055902,1039707,1,3
0.00,0.00,1055902,1334103,3,9
0.00,0.00,1056203,1320402,1,2
0.00,0.00,1061302,1585502,1,1
0.00,0.00,1061302,1585502,1,2
0.00,0.00,1061302,1585502,1,3
0.00,0.00,1061302,1585502,2,4
0.00,0.00,1061302,1585502,2,5
